variant,n,d,phase,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
lso_pcgrad,6,4,late,0.7176894680246282,0.0048848580230179,243,243,0.0013127840121685472,0.0031669211221613475,0.0018541371099928003,2.412370270209194
lso_pcgrad,6,4,mid,0.9243197308956167,0.051328733543377345,183,183,0.008302234698241573,0.014509024367704975,0.006206789669463402,1.747604698621446
lso_pcgrad,6,6,early,1.7736987588689894,2.633617456037526,69,69,0.1093987687678417,0.18466913464878762,0.07527036588094592,1.6880366820277415
lso_pcgrad,6,6,late,0.5962054724503185,0.00217752955042785,282,282,0.0012814064374503174,0.0020936973543843732,0.0008122909169340558,1.6339057563580797
lso_pcgrad,6,6,mid,0.9347326657434913,0.0476834863285966,185,185,0.006085043671144602,0.013602849488218556,0.007517805817073954,2.235456345650162
lso_pcgrad,6,8,early,1.7293761924415763,2.014697903565868,57,57,0.10038717562878094,0.1473266189202698,0.04693944329148886,1.4675840613851412
lso_pcgrad,6,8,late,0.6214235668641028,0.00169967870381045,272,272,0.0008588089152906588,0.0015971355517066781,0.0007383266364160194,1.859710027772752
lso_pcgrad,6,8,mid,0.8973341600303808,0.0268134466371917,227,227,0.005282484709418928,0.010430813125909696,0.005148328416490769,1.9746035624695795
lso_pcgrad,8,4,early,2.056320328822993,4.975362584065306,48,48,0.18583420149150087,0.2611864174615592,0.07535221597005831,1.4054808822341809
lso_pcgrad,8,4,late,0.6137194438238698,0.0055587739077569,224,224,0.001703289106257333,0.002632822295548319,0.0009295331892909858,1.5457283709947898
lso_pcgrad,8,4,mid,0.9696425554192597,0.0733362527338636,167,167,0.008627989801854844,0.01610561406588272,0.007477624264027876,1.8666705032985016
lso_pcgrad,8,6,early,2.006177433913886,3.412684090351528,46,46,0.14803088967975886,0.23389525776938785,0.085864368089629,1.5800435860068316
lso_pcgrad,8,6,late,0.7039830826595592,0.0032792905737921,285,285,0.0015763715112153197,0.0026868201069161065,0.0011104485957007869,1.7044333063623278
lso_pcgrad,8,6,mid,1.0155000029719554,0.046315339940296046,190,190,0.006894667174588626,0.013080590148734946,0.00618592297414632,1.8972040009335776
lso_pcgrad,8,8,early,1.882427252812877,2.03463975933696,51,51,0.100542008229209,0.17003583569018313,0.06949382746097413,1.6911919573214285
lso_pcgrad,8,8,late,0.7193808805462467,0.0017342483342159,322,322,0.001352741859273062,0.0021175393786670724,0.0007647975193940104,1.5653684139004898
lso_pcgrad,8,8,mid,1.0000925562457268,0.0258288693217801,260,260,0.005050973956929017,0.013560023762057057,0.00850904980512804,2.6846354540108393
lso_pcgrad,10,4,early,2.355601501829428,6.783586118700147,52,52,0.2496717838217903,0.34380777058657574,0.09413598676478543,1.3770389481895857
lso_pcgrad,10,4,late,0.7531852832737487,0.009063464744168751,229,229,0.0028416881175642107,0.00459801101434074,0.0017563228967765296,1.6180561779179286
lso_pcgrad,10,4,mid,1.1300092553261365,0.11398312457961385,183,183,0.013511622499157248,0.025914658061851364,0.012403035562694117,1.9179530854616256
lso_pcgrad,10,6,early,2.252164525794131,3.6960345766688434,42,42,0.17063480267225525,0.2923833553700207,0.12174855269776544,1.7135036392992613
lso_pcgrad,10,6,late,0.8012893326308049,0.0025417988952309498,389,389,0.0016979040835493353,0.003896196788989647,0.0021982927054403113,2.2947095932798236
lso_pcgrad,10,6,mid,1.160321543132889,0.05417736961699375,207,207,0.008449920769002637,0.02188706461565777,0.013437143846655132,2.5902094485841136
lso_pcgrad,10,8,early,2.109956837064133,3.670536017908925,54,54,0.13384396904693757,0.2255322519046466,0.09168828285770902,1.6850385826914247
lso_pcgrad,10,8,late,0.7462782635638019,0.00236099149437345,283,283,0.0013408642452726117,0.0025383560410176843,0.0011974917957450727,1.8930745971987717
lso_pcgrad,10,8,mid,1.0950875481173847,0.03628048026374875,173,173,0.008015783221707358,0.013330715246071117,0.005314932024363759,1.6630583534208503
pcgrad_nm,4,4,early,1.55771459290481,3.7898259792088194,120,120,0.11283997055086127,0.10229998150606073,-0.010539989044800538,0.9065934793021789
pcgrad_nm,4,4,late,0.9823892421509421,0.5114490186475287,383,383,0.005493560859795621,-0.04052849876760731,-0.046022059627402925,-7.377455133739086
pcgrad_nm,4,4,mid,0.5323804108602992,0.975654144041044,350,350,0.012116806365841499,-0.037659061137016406,-0.0497758675028579,-3.108002224346929
pcgrad_nm,4,6,early,1.244995633460626,4.095000358108466,94,94,0.10570892312665153,0.003892449343213207,-0.10181647378343833,0.036822334653334815
pcgrad_nm,4,6,late,0.899981342546674,1.8688817262286443,404,404,0.013067368136528808,-0.0923144874022006,-0.10538185553872942,-7.064504989657608
pcgrad_nm,4,6,mid,0.9174294670250918,2.1281224751669248,388,388,0.00909771017334932,-0.06792582317205972,-0.07702353334540904,-7.46625490126521
pcgrad_nm,4,8,early,1.1552215179989602,6.162810486330073,116,116,0.09646980764175193,-0.004367382042464149,-0.10083718968421608,-0.045272009442402526
pcgrad_nm,4,8,late,1.0968183472290602,4.085609058732199,407,407,0.014527254162942971,-0.04915355622324008,-0.06368081038618305,-3.383540734671253
pcgrad_nm,4,8,mid,0.9675398479364354,4.66314810202355,403,403,0.010738528575263242,-0.05801489752304344,-0.06875342609830667,-5.4024997108713535
pcgrad_nm,6,4,early,1.9409407927083284,4.686563472925352,81,81,0.19686502694157548,0.12344781228927995,-0.07341721465229553,0.6270682721411768
pcgrad_nm,6,4,late,1.0293918932440138,1.3646331075075415,402,402,0.008695130183172929,-0.03065999384681242,-0.039355124029985346,-3.526110961069512
pcgrad_nm,6,4,mid,0.6622229486124896,1.6858765985665896,373,373,0.017396935951710307,-0.027179610156911088,-0.0445765461086214,-1.5623216773548585
pcgrad_nm,6,6,early,1.7206963561101585,5.63478031143527,77,77,0.17534152419017612,0.0646424202480658,-0.11069910394211033,0.36866578265827304
pcgrad_nm,6,6,late,1.0961367589771367,4.445230309407952,401,401,0.019255429634242406,-0.050884940967804285,-0.0701403706020467,-2.642628179914217
pcgrad_nm,6,6,mid,0.9606619325661501,4.2538224837968714,387,387,0.02197492650704712,-0.057850074043189356,-0.07982500055023647,-2.632549147531277
pcgrad_nm,6,8,early,1.6311469773685707,7.694074544350734,98,98,0.16317817160554268,0.06698933474239574,-0.09618883686314694,0.41052877405889693
