variant,n,d,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
pcgrad_nm,4,4,0.934156767512765,1.0278930438413414,803,803,0.014470156144847344,-0.029252034687629,-0.043722190832476346,-2.0215424349823143
pcgrad_nm,4,6,0.9932216693561211,2.567478842933624,875,875,0.01676379348917641,-0.07120510288613219,-0.0879688963753086,-4.247553093045793
pcgrad_nm,4,8,1.0518263737778704,4.752517162259519,962,962,0.019736294275985118,-0.0461999456139877,-0.06593623988997283,-2.340862219013588
pcgrad_nm,6,4,0.9837441148641262,2.017807846208984,856,856,0.022973382575957345,-0.01976133917985105,-0.04273472175580839,-0.8601841332905047
pcgrad_nm,6,6,1.1314137846833017,4.5235577135897485,887,887,0.03857580478513052,-0.042739649373606595,-0.08131545415873712,-1.1079392798586816
pcgrad_nm,6,8,1.353916917239214,8.067106487287635,984,984,0.030502532429103165,-0.01779224605139609,-0.048294778480499255,-0.5833038975616366
pcgrad_nm,8,4,1.0512858166417915,2.644485161149273,873,873,0.0222153831457274,-0.010854261024447233,-0.033069644170174634,-0.48859211444817197
pcgrad_nm,8,6,1.4500713036428503,4.894919571434033,896,896,0.031238799595210476,-0.0155251895788655,-0.046763989174075975,-0.49698419209571093
pcgrad_nm,8,8,1.3499650749127305,13.672997574924484,918,918,0.04658756626275176,-0.07123521832025867,-0.11782278458301043,-1.5290607351861925
pcgrad_nm,10,4,1.168453159460354,3.5020064438275114,806,806,0.028943155550662222,-0.013207427493402776,-0.042150583044065,-0.45632299734161463
pcgrad_nm,10,6,1.2834258063642747,9.469836856442045,904,904,0.049961350349926124,-0.026520606076592335,-0.07648195642651846,-0.5308224435657503
pcgrad_nm,10,8,1.5444642393824082,17.010920755442783,945,945,0.055059356047964685,-0.036398539411771694,-0.09145789545973637,-0.6610781895099407
lso_grid,4,4,0.6201066424018769,0.01025275157199605,310,310,0.0017552142788235176,0.004536812083443243,0.0027815978046197253,2.5847625205534284
lso_grid,4,6,0.5586739506727291,0.0059479579628397,367,367,0.001662563696094828,0.0031000951115992183,0.0014375314155043904,1.8646474230617374
lso_grid,4,8,0.43057279821848216,0.0051947856910542,359,359,0.0011933641327275832,0.001875771252397728,0.0006824071196701448,1.5718347828256056
lso_grid,6,4,0.8949155015081511,0.0419796723074741,335,335,0.005778788123728722,0.013664785567135643,0.007885997443406921,2.364645540649886
lso_grid,6,6,0.8361943974052801,0.027434023399993353,364,364,0.0037360360784003607,0.01126472508032984,0.007528689001929479,3.0151542554570296
lso_grid,6,8,0.7888913119352977,0.01745623554296595,369,369,0.0037311834194053554,0.008452310636231261,0.0047211272168259065,2.265316304814176
lso_grid,8,4,0.8560976867069499,0.042076271502462,290,290,0.0051877061300233075,0.010999260898390088,0.005811554768366781,2.1202552000262727
lso_grid,8,6,0.8863238237485804,0.031636406834959704,304,304,0.0056850595032147105,0.010568750736935096,0.004883691233720386,1.8590395986108539
lso_grid,8,8,0.7823079429849551,0.02235329620195685,272,272,0.004545800205742591,0.008154027972199199,0.0036082277664566077,1.793749747711839
lso_grid,10,4,1.0204371257696596,0.0796177349085622,257,257,0.009325332766772313,0.01913993224086077,0.009814599474088458,2.0524664073178687
lso_grid,10,6,0.943672799469421,0.0384625434762475,285,285,0.005921020374922835,0.013547753664716212,0.007626733289793377,2.288077528342025
lso_grid,10,8,0.8833781211285043,0.0262593648702237,299,299,0.005043077185004583,0.009029444392205764,0.003986367207201181,1.7904632550646868
vanilla_ls_nm,4,4,0.5645205223548683,0.00401532855395105,379,379,0.0009106604007457979,0.002671129090011305,0.001760468689265507,2.933178040709519
vanilla_ls_nm,4,6,0.5781224454513822,0.00250222866541965,413,413,0.0006978572020591811,0.002385808440241905,0.001687951238182724,3.4187630839117986
vanilla_ls_nm,4,8,0.40949638902040053,0.00291507556860745,393,393,0.0008211020433450847,0.001348754082500565,0.0005276520391554803,1.6426144514339296
vanilla_ls_nm,6,4,0.8227673356603697,0.0210805734569608,338,338,0.003127573375335862,0.010002784276113156,0.0068752109007772936,3.198257267118148
vanilla_ls_nm,6,6,0.7287086648396566,0.00664936626176155,466,466,0.0020007253205465833,0.0043932466218886915,0.0023925213013421083,2.1958269717346752
vanilla_ls_nm,6,8,0.7098281731409855,0.00597649941981315,311,311,0.0024036324405690463,0.003615630859020175,0.001211998418451129,1.5042361710529233
vanilla_ls_nm,8,4,0.767018250226145,0.018151349094804398,383,383,0.0036088747139587252,0.007819360837749685,0.0042104861237909595,2.1667033237549833
vanilla_ls_nm,8,6,0.8191502341310746,0.01560497941863245,319,319,0.003275988498699142,0.007851450608696539,0.004575462109997397,2.396666109119205
vanilla_ls_nm,8,8,0.8163943342326774,0.007577025745261,413,413,0.0024379565941694014,0.005992390067619945,0.003554433473450543,2.457956011994348
vanilla_ls_nm,10,4,0.8551602406381309,0.054127330973219395,275,275,0.007848107183229173,0.012733654093363233,0.004885546910134059,1.622512765953823
vanilla_ls_nm,10,6,0.9118389315643092,0.01990947890191325,370,370,0.0031044082526759972,0.008649420373929453,0.005545012121253455,2.786173618264821
vanilla_ls_nm,10,8,0.8750854282037075,0.01023437749300965,394,394,0.0028150975853130176,0.005923706745214005,0.0031086091599009874,2.104263374782915
