variant,n,d,phase,U_median,Q_median,n_highU_lowQ,n_lowU_highQ,highU_lowQ,lowU_highQ,abs_diff,ratio
lso_pcgrad,6,4,late,1.1688138814545979,0.04078452538679275,208,208,0.011716957361367712,0.01630389885840741,0.0045869414970396965,1.391478892990037
lso_pcgrad,6,4,mid,1.8903081770005428,0.31228512299333067,253,253,0.041734219638381795,0.06472559333213125,0.022991373693749456,1.5508998105862493
lso_pcgrad,6,6,early,2.7833767159551197,1.7528752525033053,92,92,0.13505750895467197,0.20729980128670603,0.07224229233203405,1.534900227993099
lso_pcgrad,6,6,late,1.8242617151134062,0.01861162279187445,260,260,0.010774880803273462,0.01624329810382037,0.0054684173005469065,1.5075153405767212
lso_pcgrad,6,6,mid,2.158155335586871,0.1152380675234091,232,232,0.0297797876527035,0.05154416638683975,0.02176437873413625,1.730843986799228
lso_pcgrad,6,8,early,2.762909148012316,2.2085718424329692,71,71,0.15962560028748185,0.22927484076496576,0.06964924047748391,1.436328761502211
lso_pcgrad,6,8,late,1.8734227654499518,0.0082580446733411,237,237,0.006787808546439044,0.00979524294837389,0.0030074344019348463,1.4430641172860683
lso_pcgrad,6,8,mid,2.2321162843158615,0.08004293549233324,265,265,0.02519452425147332,0.047119643854344674,0.021925119602871353,1.8702335231271223
lso_pcgrad,8,4,early,2.980751799915661,0.921950600720549,197,197,0.11884192144560349,0.18286805803503597,0.06402613658943249,1.5387504325966206
lso_pcgrad,8,4,late,1.3269894645926834,0.114174408663303,105,105,0.025545449285018736,0.024461924355170812,-0.0010835249298479233,0.9575844246167413
lso_pcgrad,8,4,mid,2.3810317315149208,0.4916036127304195,186,186,0.0771202701131045,0.0991958101903063,0.02207554007720179,1.2862482204072396
lso_pcgrad,8,6,early,3.292230953254158,0.5095961354885934,128,128,0.0981072818611092,0.14392556052977462,0.04581827866866542,1.4670222005898654
lso_pcgrad,8,6,late,2.216493813339101,0.09975534979655735,215,215,0.02963446600544436,0.04378539450392314,0.01415092849847878,1.4775158930104904
lso_pcgrad,8,6,mid,2.709087625711665,0.23939672551359464,294,294,0.049773939878811395,0.0913335583772333,0.0415596184984219,1.8349674267219038
lso_pcgrad,8,8,early,3.4380232851975965,0.554267316856247,100,100,0.1044704370347932,0.14819536239528422,0.043724925360491024,1.4185387426485898
lso_pcgrad,8,8,late,2.3765432646282507,0.01940473981289965,247,247,0.013762464751775071,0.021438455038308463,0.007675990286533391,1.5577482249713555
lso_pcgrad,8,8,mid,2.8774507560460068,0.07304762585057009,241,241,0.030858597562814713,0.04813576508779418,0.017277167524979466,1.5598818121857498
lso_pcgrad,10,4,early,3.218803045241209,1.1079811264414112,195,195,0.1284705083252334,0.21263296168674778,0.08416245336151437,1.6551110792560295
lso_pcgrad,10,4,late,1.4510588486640272,0.17888328671790885,158,158,0.02897441821800401,0.03538700141541976,0.006412583197415753,1.2213187905678509
lso_pcgrad,10,4,mid,2.649957998589401,0.929762971799188,208,208,0.10837408592534897,0.14824303075664635,0.03986894483129738,1.3678826399399595
lso_pcgrad,10,6,early,3.6600992194416726,0.1721543269638024,192,192,0.06484273609949011,0.11052767313808416,0.04568493703859405,1.7045498044453016
lso_pcgrad,10,6,late,2.5672578520650093,0.30525576496383294,197,197,0.05944378000570179,0.0845983231605565,0.025154543154854714,1.4231652689724965
lso_pcgrad,10,6,mid,3.0345396099548223,0.4265650453241176,332,332,0.06445882745642138,0.13479605547058457,0.07033722801416319,2.0911962067835628
lso_pcgrad,10,8,early,3.982998498216661,0.11295806720862636,118,118,0.05961213442225298,0.07955741966477352,0.01994528524252054,1.3345843163615199
lso_pcgrad,10,8,late,2.8112742649870155,0.02595701560777285,361,361,0.014820204551069674,0.049300663887610924,0.03448045933654125,3.326584577002519
lso_pcgrad,10,8,mid,3.3867554647785196,0.03423564646697605,260,260,0.02430366927407234,0.06151981520585626,0.03721614593178392,2.5312974148922804
pcgrad_nm,4,4,early,2.100021006200704,1.5070724683153283,107,107,0.10081408819892355,0.1619906713222302,0.061176583123306635,1.6068257345401438
pcgrad_nm,4,4,late,0.916946857467386,0.1365387559605473,374,374,0.007264713902521756,-0.007789121106799153,-0.01505383500932091,-1.0721855273743626
pcgrad_nm,4,4,mid,0.9787238502426181,0.20540629208519978,303,303,0.02024129997727983,0.0036391354446417977,-0.016602164532638033,0.17978763462458455
pcgrad_nm,4,6,early,2.052836482724728,1.865279701331593,82,82,0.10787893103623518,0.15848172921289858,0.0506027981766634,1.4690702595084721
pcgrad_nm,4,6,late,1.1345365506858116,0.44691141067090606,386,386,0.008549904322103709,-0.004497092599646428,-0.013046996921750136,-0.5259816285920631
pcgrad_nm,4,6,mid,0.8482832944712597,0.49511990872135037,395,395,0.01613023070728528,-0.0015894488482149744,-0.017719679555500256,-0.09853850679873374
pcgrad_nm,4,8,early,1.728579740234235,2.397917841086532,47,47,0.11207840030630159,0.09504314435000831,-0.01703525595629328,0.8480058966782427
pcgrad_nm,4,8,late,1.4263546352342753,0.8992498260209782,323,323,0.011749366436467755,-0.012239716969356636,-0.02398908340582439,-1.041734210567042
pcgrad_nm,4,8,mid,1.1769292685935773,1.1467177119024419,335,335,0.013007715201171208,-0.005910933972101588,-0.018918649173272795,-0.4544175422574881
pcgrad_nm,6,4,early,2.720563679357397,0.7289371556363794,100,100,0.09593333976605833,0.12795075807288533,0.032017418306827,1.3337465200826346
pcgrad_nm,6,4,late,1.0642735718117295,0.3444077452878611,349,349,0.023540728291579154,-0.002690697118833493,-0.026231425410412647,-0.1142996548580017
pcgrad_nm,6,4,mid,2.0023540644946722,0.29582834676487446,327,327,0.0464174494378335,0.04270960778768473,-0.0037078416501487715,0.9201196598465702
