ansatz,variant,role,n_qubits,depth,outcome,target,spec,spec_kind,time_controlled,seeds_expected,seeds_estimable,cell_estimable,rho_bar,ci_lo,ci_hi,bootstrap_seed,excluded_fraction,top_status
hea,vanilla,primary,6,4,r,C,C_given_G,main,False,30,30,True,0.05898624531197013,-0.11996739319564463,0.2378463619451015,818914128,0.0,ok
hea,vanilla,primary,6,4,r,C,C_given_G,main,True,30,13,False,0.20728362545814777,-0.08385231072769614,0.4733443245552674,3461247170,0.0,collinear
hea,vanilla,primary,6,4,kappa,C,C_given_G,main,False,30,30,True,-0.06076476964679402,-0.24926374013051644,0.13509853326124743,2317359706,0.0,ok
hea,vanilla,primary,6,4,kappa,C,C_given_G,main,True,30,13,False,-0.1489430554309226,-0.43537284426319706,0.15001735034668326,1450507857,0.0,collinear
hea,vanilla,primary,6,6,r,C,C_given_G,main,False,30,28,True,-0.09263046157585045,-0.2269351137590416,0.05547191173796432,4064364351,0.0,ok
hea,vanilla,primary,6,6,r,C,C_given_G,main,True,30,12,False,-0.08222056619076762,-0.26955090976049434,0.1490800316396292,2682479753,0.0,collinear
hea,vanilla,primary,6,6,kappa,C,C_given_G,main,False,30,28,True,0.18864527272852663,0.02840986874014181,0.33919312175311966,2170366752,0.0,ok
hea,vanilla,primary,6,6,kappa,C,C_given_G,main,True,30,12,False,0.19704265214914998,-0.06595795021801049,0.4217234025775346,2387563717,0.0,collinear
hea,vanilla,primary,6,8,r,C,C_given_G,main,False,30,27,True,0.05846558401297171,-0.07116025969471604,0.19315123921316737,2822020612,0.0,ok
hea,vanilla,primary,6,8,r,C,C_given_G,main,True,30,10,False,-0.03528051045390507,-0.17386487728079122,0.10370616833539148,219488854,0.0,collinear
hea,vanilla,primary,6,8,kappa,C,C_given_G,main,False,30,27,True,-0.0316457366367451,-0.19379630134627251,0.12748117637565717,1656332715,0.0,ok
hea,vanilla,primary,6,8,kappa,C,C_given_G,main,True,30,10,False,0.10629329966155554,-0.09888496253806628,0.3065452548482153,766323756,0.0,collinear
hea,vanilla,primary,8,4,r,C,C_given_G,main,False,30,30,True,-0.03370611260554159,-0.18060970656956474,0.113997246519547,683722577,0.0,ok
