ansatz,variant,n_qubits,depth,n_seeds_sqrtQ_audit,n_seeds_R_audit,s_R_median,s_A_median,s_RA_cov_median,s_cov_median,sum_check_median,s_G_within_R_median,s_nu_within_R_median,s_Gnu_cov_within_R_median,sum_check_R_median
hva,lso_pcgrad,4,8,30,30,0.5133261316491617,0.08386101843495912,0.40226977365879624,0.40226977365879624,1.0,0.9256344823546696,0.003850091207571091,0.0695313207272896,1.0
hva,lso_pcgrad,6,4,30,30,0.4729674277520576,0.11220275099715202,0.42296011813594747,0.42296011813594747,1.0,0.886106470155499,0.010591606752640176,0.10133842082525643,1.0
hva,lso_pcgrad,6,6,30,30,0.4791810131277747,0.10290614596310212,0.41410229867679704,0.41410229867679704,1.0,0.8854997528129035,0.00936545487117758,0.10535185399975752,1.0
hva,lso_pcgrad,6,8,30,30,0.4322635433839084,0.12135288862347611,0.4447049038236266,0.4447049038236266,1.0,0.9035612113141807,0.007374917563988706,0.08968643679888658,1.0
hva,lso_pcgrad,8,4,30,30,0.4868598621838536,0.0947093885671674,0.4154469528089194,0.4154469528089194,1.0,0.8891274232651294,0.007994320635342535,0.1030895296929962,1.0
hva,lso_pcgrad,8,6,30,30,0.4561326437161467,0.11115571574878301,0.4327116405350702,0.4327116405350702,1.0,0.8908946520034077,0.007583506115281223,0.10182655729348769,1.0
hva,lso_pcgrad,8,8,30,30,0.4194198085471338,0.13109151866922253,0.4472798842806664,0.4472798842806664,1.0,0.9003456593296699,0.006551536468258352,0.09354354326439628,1.0
hva,lso_pcgrad,10,4,30,30,0.5112644597467064,0.08868778112202584,0.39886782008800153,0.39886782008800153,1.0,0.8729507160431635,0.010312122917176508,0.11341834172353177,1.0
hva,lso_pcgrad,10,6,30,30,0.4186514358111555,0.13111578226971687,0.4493573370502,0.4493573370502,1.0,0.8959495256942025,0.007324292208572658,0.09672618209722489,1.0
hva,lso_pcgrad,10,8,30,30,0.43901052847079186,0.11963625778879508,0.4387619618065205,0.4387619618065205,1.0,0.896649935239489,0.006262922056837762,0.09717301133500839,0.9999999999999999
hva,pcgrad,4,4,30,30,0.1233631164384777,0.6441817123211369,0.23134261018414148,0.23134261018414148,1.0,0.5408500448424831,1.246045058208452,-0.6991397471706329,1.0
hva,pcgrad,4,6,30,30,0.1407517418683772,0.5704765607116535,0.2666857626473557,0.2666857626473557,1.0,0.7870523891376049,0.8958727017568954,-0.6813863611404387,1.0
hva,pcgrad,4,8,30,30,0.17662800180666305,0.5789896931719904,0.27216829211480253,0.27216829211480253,1.0,2.6887827153838657,2.232296856139365,-3.924670763947051,1.0000000000000002
hva,pcgrad,6,4,30,30,0.1379268618303595,0.587348280661929,0.26592192928404446,0.26592192928404446,0.9999999999999999,0.41640630921128363,0.9530730237744323,-0.5068377421182921,1.0
hva,pcgrad,6,6,30,30,0.1306434425742938,0.5993609723499955,0.2544167403996906,0.2544167403996906,1.0,1.0154369633936864,1.1648464096649125,-1.2526640897422294,1.0
hva,pcgrad,6,8,30,30,0.15242793590662967,0.5803715130604146,0.26889028878797805,0.26889028878797805,1.0,1.8580055601634793,1.428771772175513,-2.1623347301382143,1.0
hva,pcgrad,8,4,30,30,0.15747983798399162,0.5650384136463439,0.29995496336708355,0.29995496336708355,1.0,0.44323476595271927,0.8891379319566624,-0.35254344495904233,1.0
hva,pcgrad,8,6,30,30,0.13183359126821548,0.5459935994514666,0.3235593279161967,0.3235593279161967,1.0,0.9771530996283475,0.9076733970160503,-0.7767465883333828,1.0
hva,pcgrad,8,8,30,30,0.12663214718321114,0.5787516278690155,0.30277650575141535,0.30277650575141535,1.0,2.3908113096321966,1.87542530745301,-3.274728079168667,1.0
hva,pcgrad,10,4,30,30,0.15800379035328124,0.5104358799467686,0.3254064945733115,0.3254064945733115,1.0,0.47848853312527473,0.8502255509008538,-0.2517184656568227,1.0
hva,pcgrad,10,6,30,30,0.1415855440873945,0.5490022174496663,0.28569862309917404,0.28569862309917404,1.0,1.1571492817499105,1.0040829312898714,-1.170525434880822,0.9999999999999999
hva,pcgrad,10,8,30,30,0.13917216563115853,0.5520045445971901,0.3384337670775986,0.3384337670775986,1.0,1.9646161036595697,1.7376091859628113,-2.9430517581550877,1.0
hva,pcgrad_nm,4,4,30,30,0.09300529422470395,0.8224509556520737,0.071258941082968,0.071258941082968,0.9999999999999999,1.0,1.0347862187240955e-30,-3.518269895061504e-17,1.0
hva,pcgrad_nm,4,6,30,30,0.11111833803435558,0.7785921561689291,0.10373578403449576,0.10373578403449576,1.0,1.0,1.2510112949965818e-30,-5.4261440243990603e-17,1.0
hva,pcgrad_nm,4,8,30,30,0.1369290317655786,0.8216742191117505,0.07180614953897599,0.07180614953897599,1.0,1.0,1.4484568546309641e-30,1.3305423693575016e-17,1.0
hva,pcgrad_nm,6,4,30,30,0.09830539407560761,0.8068204776637701,0.075123139836067,0.075123139836067,1.0,1.0,1.4820143142041102e-30,6.895008390512287e-17,1.0
hva,pcgrad_nm,6,6,30,30,0.13361530813471756,0.7505160086269451,0.08099929410909855,0.08099929410909855,1.0,1.0,8.40519941902653e-31,4.435766242184753e-17,1.0
hva,pcgrad_nm,6,8,30,30,0.11130597842887704,0.6838110583326484,0.19459964629495743,0.19459964629495743,1.0,1.0,2.0188890220270045e-30,3.513997262103242e-18,1.0
hva,pcgrad_nm,8,4,30,30,0.08866706145248573,0.8212381666662711,0.0529143108382964,0.0529143108382964,1.0,1.0,2.18515162310319e-30,7.616224171502244e-17,1.0
hva,pcgrad_nm,8,6,30,30,0.09753989426804079,0.7283285666862749,0.14008983636538405,0.14008983636538405,1.0,1.0,2.1006160619853774e-30,6.601663382993175e-18,1.0
hva,pcgrad_nm,8,8,30,30,0.12010196424147054,0.6552126138673795,0.19001387465185463,0.19001387465185463,1.0,1.0,2.172204875583242e-30,-4.2758707799671176e-17,1.0
hva,pcgrad_nm,10,4,30,30,0.10004680927904269,0.8130070090605627,0.11957253080991129,0.11957253080991129,1.0,1.0,2.1214269685826853e-30,-5.909254753939362e-17,1.0
hva,pcgrad_nm,10,6,30,30,0.12392753651661773,0.6568225920406081,0.21682912957836656,0.21682912957836656,1.0,1.0000000000000002,1.5281279174982949e-30,-1.2708988226455394e-16,1.0
hva,pcgrad_nm,10,8,30,30,0.11924632151737115,0.6565112431446289,0.22337974085189483,0.22337974085189483,1.0,1.0,3.408243169515708e-30,-2.1592278781978455e-17,1.0
hva,vanilla,4,4,30,30,0.4489353510377301,0.11522163236245611,0.43405315473141515,0.43405315473141515,1.0,1.0,0.0,0.0,1.0
hva,vanilla,4,6,30,30,0.39366952278223377,0.1482419089365771,0.4571535931435629,0.4571535931435629,1.0,1.0,0.0,0.0,1.0
