ansatz,variant,n_qubits,depth,statistic,seeds_expected,seeds_estimable,cell_estimable,rho_bar,ci_lo,ci_hi,material_and_resolved,reason,sign,max_vif_median,kappa_median,top_status,bootstrap_seed
hea,lso_pcgrad,8,6,rho_C,30,22,True,0.04750212825236215,-0.0798780636965504,0.17599651837313712,False,below_material_threshold,1,5.760480510080898,4.7208048194750685,ok,229120434
hea,lso_pcgrad,8,8,rho_nu,30,24,True,0.3886739436770481,0.2794221855100541,0.49652288866383176,True,material_and_resolved,1,5.970694206510524,5.1242414558231495,ok,1034725807
hea,lso_pcgrad,8,8,rho_cos,30,24,True,0.19316641923324843,0.07370738585525288,0.30266271078649476,False,below_material_threshold,1,5.970694206510524,5.124241455823142,ok,487826045
hea,lso_pcgrad,8,8,rho_C,30,24,True,-0.12926262022792986,-0.2551463014462949,0.002001192025144824,False,below_material_threshold,-1,5.970694206510524,5.124241455823145,ok,3718079062
hea,lso_pcgrad,10,4,rho_nu,30,17,False,0.5632261407907331,0.4052048411662457,0.6955461412231743,False,cell_underdetermined,1,7.283297042281988,6.4204118012487745,ok,4096136773
hea,lso_pcgrad,10,4,rho_cos,30,17,False,0.4146743921539134,0.2884347000367771,0.5330655573627541,False,cell_underdetermined,1,7.2832970422819905,6.420411801248773,ok,1552962966
hea,lso_pcgrad,10,4,rho_C,30,17,False,0.10964131243384145,-0.0016849695932580518,0.22034041886671546,False,cell_underdetermined,1,7.2832970422819905,6.42041180124877,ok,3397124968
hea,lso_pcgrad,10,6,rho_nu,30,23,True,0.6867740969859667,0.6021153764739969,0.7589054225856849,True,material_and_resolved,1,6.103513911142651,5.074369118504002,ok,264261138
hea,lso_pcgrad,10,6,rho_cos,30,23,True,0.4305780665980536,0.31653549242826184,0.5332532425128746,True,material_and_resolved,1,6.103513911142649,5.074369118504003,ok,511888502
hea,lso_pcgrad,10,6,rho_C,30,23,True,0.01245768430358314,-0.1349622345083219,0.16998272576059953,False,below_material_threshold,1,6.103513911142649,5.074369118504002,ok,4166468866
hea,lso_pcgrad,10,8,rho_nu,30,20,True,0.34928059702126013,0.23540359277882303,0.44909158912678454,True,material_and_resolved,1,7.60317830763954,5.606706075851736,ok,3783764710
hea,lso_pcgrad,10,8,rho_cos,30,20,True,0.49041338384592303,0.3022657032582576,0.636615380596837,True,material_and_resolved,1,7.60317830763954,5.606706075851733,ok,2544017253
hea,lso_pcgrad,10,8,rho_C,30,20,True,-0.05487294472637923,-0.21841286685188374,0.11197430007395091,False,below_material_threshold,-1,7.60317830763954,5.60670607585174,ok,2499328125
hea,pcgrad,4,4,rho_nu,30,28,True,-0.19626511649583547,-0.31296202483282703,-0.07363335083344191,False,below_material_threshold,-1,3.8621675047969997,3.899324946483529,ok,3322014417
hea,pcgrad,4,4,rho_cos,30,28,True,0.8904429354789732,0.840340485380082,0.9240262605146773,True,material_and_resolved,1,3.8621675047969997,3.899324946483528,ok,2593603280
hea,pcgrad,4,4,rho_C,30,28,True,-0.25660296000166416,-0.3604570308285996,-0.1462767858315903,True,material_and_resolved,-1,3.8621675047969997,3.899324946483528,ok,3567849145
hea,pcgrad,4,6,rho_nu,30,30,True,-0.46466476198312634,-0.5625242276037663,-0.3602309640094335,True,material_and_resolved,-1,3.0805465731546593,3.4248509934425444,ok,2188090698
hea,pcgrad,4,6,rho_cos,30,30,True,0.8545244482323399,0.8214948520098851,0.8815842646513149,True,material_and_resolved,1,3.0805465731546593,3.424850993442546,ok,3728043949
hea,pcgrad,4,6,rho_C,30,30,True,-0.2900313838730665,-0.3687401036236998,-0.2087809032414142,True,material_and_resolved,-1,3.0805465731546593,3.4248509934425453,ok,4173968418
hea,pcgrad,4,8,rho_nu,30,28,True,-0.4719290316107232,-0.5589653011617146,-0.3773107434390581,True,material_and_resolved,-1,4.930981835443186,4.372920531008015,ok,1484218522
hea,pcgrad,4,8,rho_cos,30,28,True,0.6790560322769329,0.6062121653425074,0.7358057814477422,True,material_and_resolved,1,4.930981835443188,4.372920531008016,ok,659862622
hea,pcgrad,4,8,rho_C,30,28,True,-0.12239254714851264,-0.23596644438193978,0.0009975991452312596,False,below_material_threshold,-1,4.930981835443188,4.372920531008015,ok,971998649
hea,pcgrad,6,4,rho_nu,30,24,True,0.16721066812508753,0.02322965790404478,0.30359221581775464,False,below_material_threshold,1,6.3750113459534425,5.570713736822714,ok,2632022420
hea,pcgrad,6,4,rho_cos,30,24,True,0.9202083995492004,0.8952933233663689,0.9403486136652108,True,material_and_resolved,1,6.375011345953444,5.570713736822714,ok,1284080383
hea,pcgrad,6,4,rho_C,30,24,True,-0.19490591337475852,-0.3206104349760636,-0.06345670244669936,False,below_material_threshold,-1,6.375011345953444,5.570713736822716,ok,1905276746
hea,pcgrad,6,6,rho_nu,30,29,True,-0.3839843540281427,-0.5380330309921786,-0.19971995847170548,True,material_and_resolved,-1,4.3056847426608496,4.153103819068937,ok,630889080
hea,pcgrad,6,6,rho_cos,30,29,True,0.8939912932248492,0.855508480308254,0.923312943819392,True,material_and_resolved,1,4.3056847426608496,4.153103819068935,ok,3980056665
hea,pcgrad,6,6,rho_C,30,29,True,-0.17811936043665913,-0.31582143656789835,-0.041433992190194634,False,below_material_threshold,-1,4.305684742660848,4.153103819068936,ok,1980620050
hea,pcgrad,6,8,rho_nu,30,29,True,-0.6156923838724316,-0.6954892088292638,-0.524925347499304,True,material_and_resolved,-1,2.6401872432445628,3.2107576117635857,ok,3871467055
hea,pcgrad,6,8,rho_cos,30,29,True,0.8706158745763647,0.8324880801531291,0.9008979684324707,True,material_and_resolved,1,2.6401872432445628,3.210757611763585,ok,532250496
hea,pcgrad,6,8,rho_C,30,29,True,-0.3406704232255016,-0.44826086627681727,-0.2256771704563311,True,material_and_resolved,-1,2.640187243244563,3.2107576117635848,ok,1546729959
hea,pcgrad,8,4,rho_nu,30,27,True,0.3555996030322572,0.1910738371583605,0.5023770847955616,True,material_and_resolved,1,5.551364089437543,5.156872187101222,ok,636835315
hea,pcgrad,8,4,rho_cos,30,27,True,0.8742438133739047,0.837701490561219,0.9019223514074673,True,material_and_resolved,1,5.551364089437543,5.156872187101225,ok,3945121592
hea,pcgrad,8,4,rho_C,30,27,True,-0.2805284381958042,-0.3892461665736592,-0.1685136987953573,True,material_and_resolved,-1,5.551364089437543,5.156872187101223,ok,2566130366
hea,pcgrad,8,6,rho_nu,30,20,True,0.11427225074754396,-0.10105125307996683,0.32592989050873994,False,below_material_threshold,1,6.543918838415646,5.546841603305219,ok,3971011515
hea,pcgrad,8,6,rho_cos,30,20,True,0.761596864412367,0.6633438826738256,0.8365674760595543,True,material_and_resolved,1,6.543918838415646,5.5468416033052215,ok,3022996474
hea,pcgrad,8,6,rho_C,30,20,True,-0.18901010736877055,-0.3662900237603717,-0.00982329223154541,False,below_material_threshold,-1,6.543918838415646,5.5468416033052215,ok,2880082500
hea,pcgrad,8,8,rho_nu,30,18,False,0.3296374463009984,0.15585916479742062,0.48003202291770936,False,cell_underdetermined,1,8.070026092285488,5.88148076609219,ok,952926090
hea,pcgrad,8,8,rho_cos,30,18,False,0.9422011470206201,0.8931397109175714,0.9658883450538845,False,cell_underdetermined,1,8.070026092285488,5.881480766092196,ok,3271314854
hea,pcgrad,8,8,rho_C,30,18,False,0.0993051422551906,-0.07079238599158136,0.28433165315940634,False,cell_underdetermined,1,8.070026092285488,5.881480766092193,ok,3061061247
