basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_nu_full_seeds_identifiable,rho_nu_full_seeds_estimable,rho_nu_full_fraction_expected,rho_nu_full_cell_estimable,rho_nu_full_vif_median,rho_nu_full_vif_p90,rho_nu_full_kappa_median,rho_cos_full_seeds_identifiable,rho_cos_full_seeds_estimable,rho_cos_full_fraction_expected,rho_cos_full_cell_estimable,rho_cos_full_vif_median,rho_cos_full_vif_p90,rho_cos_full_kappa_median,rho_C_full_seeds_identifiable,rho_C_full_seeds_estimable,rho_C_full_fraction_expected,rho_C_full_cell_estimable,rho_C_full_vif_median,rho_C_full_vif_p90,rho_C_full_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
full,hea,pcgrad_nm,6,8,30,30,0,0,0.0,False,,,,30,30,1.0,True,1.4963188861426384,2.724386059319824,1.9736261750291098,30,30,1.0,True,1.4963188861426384,2.724386059319824,1.9736261750291098,rho_cos_full;rho_C_full,30,1.0,1.0,True,rho_C_full:nu(structural_control) x30; rho_cos_full:nu(structural_control) x30; rho_nu_full:nu(structural_target) x30
full,hea,pcgrad_nm,8,4,30,30,0,0,0.0,False,,,,30,28,0.9333333333333333,True,4.536660286027207,8.158200208971028,4.162611522877388,30,28,0.9333333333333333,True,4.536660286027207,8.158200208971028,4.1626115228773894,rho_cos_full;rho_C_full,28,0.9333333333333333,0.9333333333333333,True,rho_C_full:nu(structural_control) x30; rho_cos_full:nu(structural_control) x30; rho_nu_full:nu(structural_target) x30
full,hea,pcgrad_nm,8,6,30,30,0,0,0.0,False,,,,30,24,0.8,True,4.934732821057587,14.364801127677108,4.3330471747821555,30,24,0.8,True,4.934732821057587,14.364801127677108,4.333047174782156,rho_cos_full;rho_C_full,24,0.8,0.8,True,rho_C_full:nu(structural_control) x30; rho_cos_full:nu(structural_control) x30; rho_nu_full:nu(structural_target) x30
full,hea,pcgrad_nm,8,8,30,30,0,0,0.0,False,,,,30,23,0.7666666666666667,True,6.887420407434503,28.706355880902315,5.155423359501151,30,23,0.7666666666666667,True,6.887420407434503,28.706355880902315,5.155423359501148,rho_cos_full;rho_C_full,23,0.7666666666666667,0.7666666666666667,True,rho_C_full:nu(structural_control) x30; rho_cos_full:nu(structural_control) x30; rho_nu_full:nu(structural_target) x30
full,hea,pcgrad_nm,10,4,30,30,0,0,0.0,False,,,,30,23,0.7666666666666667,True,6.819884632672199,14.599556453397513,5.085806095760919,30,23,0.7666666666666667,True,6.819884632672199,14.59955645339751,5.085806095760918,rho_cos_full;rho_C_full,23,0.7666666666666667,0.7666666666666667,True,rho_C_full:nu(structural_control) x30; rho_cos_full:nu(structural_control) x30; rho_nu_full:nu(structural_target) x30
full,hea,pcgrad_nm,10,6,30,30,0,0,0.0,False,,,,30,13,0.43333333333333335,False,10.431104771125801,25.732121962107694,6.48013232880751,30,13,0.43333333333333335,False,10.431104771125801,25.732121962107694,6.480132328807509,rho_cos_full;rho_C_full,13,0.43333333333333335,0.43333333333333335,False,rho_C_full:nu(structural_control) x30; rho_cos_full:nu(structural_control) x30; rho_nu_full:nu(structural_target) x30
full,hea,pcgrad_nm,10,8,30,30,0,0,0.0,False,,,,30,13,0.43333333333333335,False,10.697663353379177,854.3119180714134,6.5317446313631695,30,13,0.43333333333333335,False,10.697663353379177,854.3119180714134,6.531744631363168,rho_cos_full;rho_C_full,13,0.43333333333333335,0.43333333333333335,False,rho_C_full:nu(structural_control) x30; rho_cos_full:nu(structural_control) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,4,4,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,29,0.9666666666666667,True,1.3757589913838382,3.084770707596101,1.7845025641489793,rho_C_full,29,0.9666666666666667,0.9666666666666667,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,4,6,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,27,0.9,True,1.7659125134140878,8.64255967350044,2.20370675353932,rho_C_full,27,0.9,0.9,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
full,hea,vanilla,4,8,30,30,0,0,0.0,False,,,,0,0,0.0,False,,,,30,27,0.9,True,1.4138162243581167,6.990063956039554,1.8321468141468484,rho_C_full,27,0.9,0.9,True,rho_C_full:cos_theta(structural_control) x30; rho_C_full:nu(structural_control) x30; rho_cos_full:cos_theta(structural_target) x30; rho_nu_full:nu(structural_target) x30
