ansatz,variant,n_qubits,depth,n_transitions,n_valid_base,f_zero_update,f_zero_grad,f_undefined_C_given_valid,f_invalid_C_total,f_worse_given_valid,f_worse_total
hva,lso_pcgrad,6,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,8,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,8,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,8,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,10,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,10,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,lso_pcgrad,10,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,pcgrad,4,4,3000,3000,0.0,0.0,0.0,0.0,0.43066666666666664,0.43066666666666664
hva,pcgrad,4,6,3000,3000,0.0,0.0,0.0,0.0,0.45666666666666667,0.45666666666666667
hva,pcgrad,4,8,3000,3000,0.0,0.0,0.0,0.0,0.4593333333333333,0.4593333333333333
hva,pcgrad,6,4,3000,3000,0.0,0.0,0.0,0.0,0.4073333333333333,0.4073333333333333
hva,pcgrad,6,6,3000,3000,0.0,0.0,0.0,0.0,0.43366666666666664,0.43366666666666664
hva,pcgrad,6,8,3000,3000,0.0,0.0,0.0,0.0,0.43566666666666665,0.43566666666666665
hva,pcgrad,8,4,3000,3000,0.0,0.0,0.0,0.0,0.43366666666666664,0.43366666666666664
hva,pcgrad,8,6,3000,3000,0.0,0.0,0.0,0.0,0.4216666666666667,0.4216666666666667
hva,pcgrad,8,8,3000,3000,0.0,0.0,0.0,0.0,0.44366666666666665,0.44366666666666665
hva,pcgrad,10,4,3000,3000,0.0,0.0,0.0,0.0,0.42533333333333334,0.42533333333333334
hva,pcgrad,10,6,3000,3000,0.0,0.0,0.0,0.0,0.44,0.44
hva,pcgrad,10,8,3000,3000,0.0,0.0,0.0,0.0,0.44233333333333336,0.44233333333333336
hva,pcgrad_nm,4,4,3000,3000,0.0,0.0,0.0,0.0,0.42733333333333334,0.42733333333333334
hva,pcgrad_nm,4,6,3000,3000,0.0,0.0,0.0,0.0,0.4706666666666667,0.4706666666666667
hva,pcgrad_nm,4,8,3000,3000,0.0,0.0,0.0,0.0,0.465,0.465
hva,pcgrad_nm,6,4,3000,3000,0.0,0.0,0.0,0.0,0.38966666666666666,0.38966666666666666
hva,pcgrad_nm,6,6,3000,3000,0.0,0.0,0.0,0.0,0.4026666666666667,0.4026666666666667
hva,pcgrad_nm,6,8,3000,3000,0.0,0.0,0.0,0.0,0.4106666666666667,0.4106666666666667
hva,pcgrad_nm,8,4,3000,3000,0.0,0.0,0.0,0.0,0.386,0.386
hva,pcgrad_nm,8,6,3000,3000,0.0,0.0,0.0,0.0,0.4056666666666667,0.4056666666666667
hva,pcgrad_nm,8,8,3000,3000,0.0,0.0,0.0,0.0,0.434,0.434
hva,pcgrad_nm,10,4,3000,3000,0.0,0.0,0.0,0.0,0.388,0.388
hva,pcgrad_nm,10,6,3000,3000,0.0,0.0,0.0,0.0,0.418,0.418
hva,pcgrad_nm,10,8,3000,3000,0.0,0.0,0.0,0.0,0.4103333333333333,0.4103333333333333
hva,vanilla,4,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,4,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,4,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,6,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,6,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,6,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,8,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,8,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,8,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,10,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,10,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla,10,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,4,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,4,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,4,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,6,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,6,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,6,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,8,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,8,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,8,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,10,4,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,10,6,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
hva,vanilla_ls_nm,10,8,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0
