basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_A_lite_seeds_identifiable,rho_A_lite_seeds_estimable,rho_A_lite_fraction_expected,rho_A_lite_cell_estimable,rho_A_lite_vif_median,rho_A_lite_vif_p90,rho_A_lite_kappa_median,rho_nu_lite_seeds_identifiable,rho_nu_lite_seeds_estimable,rho_nu_lite_fraction_expected,rho_nu_lite_cell_estimable,rho_nu_lite_vif_median,rho_nu_lite_vif_p90,rho_nu_lite_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
lite,hea,pcgrad,6,6,30,30,30,29,0.9666666666666667,True,2.6876293311639934,6.152047573078371,2.9394370489209285,30,29,0.9666666666666667,True,2.6876293311639934,6.152047573078371,2.9394370489209294,rho_A_lite;rho_nu_lite,29,0.9666666666666667,0.9666666666666667,True,
lite,hea,pcgrad,6,8,30,30,30,30,1.0,True,3.158639404991006,6.070808355473279,3.282713068362922,30,30,1.0,True,3.158639404991006,6.070808355473279,3.2827130683629226,rho_A_lite;rho_nu_lite,30,1.0,1.0,True,
lite,hea,pcgrad,8,4,30,30,30,28,0.9333333333333333,True,3.1078545643956135,9.176534823361356,3.3553041363323564,30,28,0.9333333333333333,True,3.1078545643956135,9.176534823361356,3.3553041363323555,rho_A_lite;rho_nu_lite,28,0.9333333333333333,0.9333333333333333,True,
lite,hea,pcgrad,8,6,30,30,30,23,0.7666666666666667,True,5.631896463496862,14.609745125940734,4.6387341249382175,30,23,0.7666666666666667,True,5.631896463496863,14.609745125940734,4.6387341249382175,rho_A_lite;rho_nu_lite,23,0.7666666666666667,0.7666666666666667,True,
lite,hea,pcgrad,8,8,30,30,30,19,0.6333333333333333,False,6.537239950505141,18.364822895403428,5.042089935228736,30,19,0.6333333333333333,False,6.537239950505138,18.364822895403428,5.042089935228737,rho_A_lite;rho_nu_lite,19,0.6333333333333333,0.6333333333333333,False,
lite,hea,pcgrad,10,4,30,30,30,27,0.9,True,3.8958440565334564,8.656645843460126,3.929421988150229,30,27,0.9,True,3.895844056533457,8.656645843460126,3.9294219881502293,rho_A_lite;rho_nu_lite,27,0.9,0.9,True,
lite,hea,pcgrad,10,6,30,30,30,24,0.8,True,5.30367248114543,23.991324451490534,4.474818757130254,30,24,0.8,True,5.30367248114543,23.991324451490534,4.474818757130254,rho_A_lite;rho_nu_lite,24,0.8,0.8,True,
lite,hea,pcgrad,10,8,30,30,30,10,0.3333333333333333,False,13.844002168720555,44.00396879345997,7.376864516768162,30,10,0.3333333333333333,False,13.844002168720555,44.00396879345997,7.376864516768157,rho_A_lite;rho_nu_lite,10,0.3333333333333333,0.3333333333333333,False,
lite,hea,pcgrad_nm,4,4,30,30,30,30,1.0,True,1.1015619607565612,1.8158892604616252,1.3681190247267618,0,0,0.0,False,,,,rho_A_lite,30,1.0,1.0,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,pcgrad_nm,4,6,30,30,30,30,1.0,True,1.0647356465331927,1.2872991364012631,1.2848320620103868,0,0,0.0,False,,,,rho_A_lite,30,1.0,1.0,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,pcgrad_nm,4,8,30,30,30,30,1.0,True,1.0451001763143757,1.1919215920713329,1.2346346318402628,0,0,0.0,False,,,,rho_A_lite,30,1.0,1.0,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,pcgrad_nm,6,4,30,30,30,29,0.9666666666666667,True,1.1111852799918296,3.678803077744308,1.387258938967304,0,0,0.0,False,,,,rho_A_lite,29,0.9666666666666667,0.9666666666666667,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,pcgrad_nm,6,6,30,30,30,30,1.0,True,1.3445901762706343,2.625351205907763,1.7465474310708502,0,0,0.0,False,,,,rho_A_lite,30,1.0,1.0,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,pcgrad_nm,6,8,30,30,30,30,1.0,True,1.114940490461932,1.8569836321728432,1.394899019935972,0,0,0.0,False,,,,rho_A_lite,30,1.0,1.0,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,pcgrad_nm,8,4,30,30,30,29,0.9666666666666667,True,1.3149313844772894,3.1725601892941144,1.704020358987699,0,0,0.0,False,,,,rho_A_lite,29,0.9666666666666667,0.9666666666666667,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
lite,hea,pcgrad_nm,8,6,30,30,30,27,0.9,True,1.9277853680626578,9.92508981586594,2.350418744426635,0,0,0.0,False,,,,rho_A_lite,27,0.9,0.9,True,rho_A_lite:nu(structural_control) x30; rho_nu_lite:nu(structural_target) x30
